Time,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations,Professional and related occupations,Computer and mathematical occupations,Architecture and engineering occupations
12:00,55.8,56.6,58.3,55.1,49.8,51.4
13:00,64.3,65,68.5,63.9,65.8,80.6
14:00,73.5,74.9,79.6,72.4,80,79.9
15:00,70.2,73,78.6,68.2,74.5,83.6
16:00,60,67.1,73.3,54.9,66.8,61.4
17:00,37.5,40.6,38.8,35.3,43.3,33.7
18:00,18.6,21.3,18.9,16.7,14.3,11.3
19:00,12.8,13.2,7.6,12.5,9.4,3.6
20:00,11.2,11.3,6.6,11.1,5.5,5
21:00,10,10.4,5.8,9.7,8,3.4
22:00,7.9,7.5,4.5,8.2,6.4,2.6
