City,Population,Murders ,Rapes,Robberies,Assaults,Burglaries,Larceny-thefts,Motor vehicle thefts,Arsons
Southborough,"9,569",0,0,0,0,14.6,37.6,5.2,0
"Hamilton, MA","8,170",0,0,0,0,13.5,60,1.2,0
Boxford,"8,088",0,0,0,0,11.1,66.8,2.5,0
Lincoln,"7,984",0,0,0,0,21.3,52.6,2.5,0
Eastham,"5,440",0,0,0,0,47.8,99.3,0,0
Manchester-by-the-Sea,"5,268",0,0,0,0,3.8,17.1,1.9,0
Sherborn,"4,218",0,0,0,0,26.1,26.1,0,0
Princeton,"3,510",0,0,0,0,54.1,37,0,0
Cheshire,"3,287",0,0,0,0,24.3,12.2,0,
Berlin,"2,740",0,0,0,0,3.6,58.4,3.6,0
"West Tisbury, MA","2,646",0,0,0,0,7.6,41.6,7.6,0
Shelburne,"2,034",0,0,0,0,4.9,68.8,0,0
Leverett,"1,753",0,0,0,0,22.8,17.1,0,0
Charlemont,"1,368",0,0,0,0,21.9,51.2,0,0
"New Salem, MA",998,0,0,0,0,0,10,0,0
Monterey,963,0,0,0,0,0,0,0,0
Aquinnah,355,0,0,0,0,0,197.2,0,0
Franklin,"31,608",0,0,0.6,0.3,4.7,24.7,0.9,0.3
Hudson,"19,766",0,0.5,0,0.5,11.1,69.3,6.6,0
Millis,"7,928",0,0,0,1.3,16.4,45.4,2.5,0
"Hopkinton, MA","14,419",0,0,0,1.4,2.1,54.1,2.1,0
Topsfield,"6,056",0,0,0,1.7,14.9,90.8,5,0
Needham,"28,231",0,0.4,1.1,0.4,14.5,67.7,1.8,0
Wrentham,"11,181",0,0.9,0.9,0,6.3,32.2,0,0
Groton,"10,776",0,0.9,0,0.9,11.1,25.1,0,0.9
Shrewsbury,"33,706",0,0,0.3,1.8,31.4,93.2,5.6,0
Westford,"21,913",0,0,0.5,1.8,13.2,43.4,4.1,0
Sudbury,"17,190",0,1.2,0,1.2,12.2,52.4,0.6,0
Medway,"12,782",0,0.8,0,1.6,19.6,67.3,1.6,0
Winchester,"21,171",0,0.5,0.5,1.4,23.1,112.4,3.8,0.5
Georgetown,"8,241",0,0,0,2.4,6.1,42.5,1.2,
Clinton,"14,101",0,0,0,2.8,16.3,65.2,5,0
Hanover,"14,064",0,0,0.7,2.1,29.9,228.2,3.6,0
Sharon,"16,984",0,0,0,2.9,20,47.1,0,0.6
Andover,"33,442",0,0,0.6,2.4,18.2,107.6,6,0.3
Bedford,"13,215",0,1.5,0,1.5,21.9,115.8,2.3,0
Hingham,"22,724",0,0,1.3,1.8,32.6,122.8,2.2,0
Merrimac,"6,459",0,1.5,0,1.5,26.3,18.6,4.6,3.1
Harvard,"6,001",0,0,0,3.3,31.7,48.3,1.7,1.7
Lakeville,"10,678",0,0,0,3.7,89,73,10.3,0.9
Grafton,"17,872",0,0,0,3.9,32.5,34.1,9.5,0.6
Longmeadow,"15,275",0,0,0,3.9,39.3,148,7.2,0.7
Carlisle,"4,900",0,2,0,2,20.4,10.2,0,0
Groveland,"7,041",0,0,0,4.3,11.4,55.4,1.4,0
Newbury,"6,950",0,2.9,0,1.4,21.6,43.2,5.8,1.4
Bolton,"4,522",0,0,0,4.4,64.1,68.6,2.2,4.4
Boylston,"4,298",0,0,0,4.7,23.3,48.9,2.3,0
North Andover,"27,775",0.7,0,1.1,2.9,9.4,67,3.6,0.4
Wellesley,"26,975",0,0.7,1.5,3,18.9,57.5,3.3,0
Townsend,"9,394",0,1.1,0,4.3,102.2,51.1,5.3,0
Wales,"1,857",0,0,0,5.4,0,16.2,0,0
Northborough,"14,683",0,0,0.7,4.8,10.9,54.5,3.4,0.7
Reading,"23,055",0,0,1.3,4.3,19.1,92.8,3,0
Medfield,"12,261",0.8,0,0,4.9,9.8,44.9,0.8,1.6
Holden,"16,695",0,0,0.6,5.4,11.4,40.7,2.4,0.6
Milton,"26,298",0.8,0,2.3,3,25.5,78.7,2.3,
Hatfield,"3,259",0,0,0,6.1,3.1,9.2,0,
Norton,"19,366",0,2.6,0,3.6,18.1,35.1,0.5,0
Westhampton,"1,601",0,0,0,6.2,6.2,18.7,6.2,0
